0.4000000000000003 ps 
539.484 -89.1034 1588.96
401.479 190.906 -976.84
-985.121 -54.8109 -850.316
458.457 -903.611 -765.306
52.6202 809.325 439.189
-379.819 -57.2395 275.155
-1418.46 -370.993 682.737
948.517 647.195 -484.61
679.09 -559.023 132.143
-1393.46 -1199.84 -1020.41
743.999 906.953 65.3442
611.259 185.182 864.472
656.545 1079.7 1233.22
-270.497 -330.111 -44.9518
-250.956 -614.755 -977.975
184.887 -855.035 475.13
24.7846 269.425 -275.122
-334.306 542.308 -92.629
1477.7 573.808 -352.782
-848.671 65.0896 -349.225
-574.398 -477.264 810.875
-570.132 1038.11 -1296.3
-144.814 -978.553 452.064
578.004 -60.125 905.468
904.374 -1015.78 662.288
-275.829 1047.17 -536.647
-757.827 191.56 -602.78
-864.558 910.443 -1074.35
-45.5838 -495.276 1075.28
968.13 -560.978 22.0237
1363.61 -286.353 1239.32
-538.34 887.892 -330.285
-685.586 -653.342 -812.672
-1781.68 765.161 535.949
1404.35 -258.64 -388.094
205.512 -365.353 -275.53
-1352.15 -666.489 543.253
1042.86 -228.621 -145.474
498.575 856.643 -328.971
-1795.84 507.611 -1568.47
192.088 -655.7 1032.34
1247.87 95.4696 576.171
687.218 -1242.59 338.209
-744.947 370.976 -51.8562
-258.131 995.02 -604.973
-509.27 1695.6 396.284
261.615 -493.954 -700.247
133.648 -1053.44 324.285
-456.007 -1771.5 -163.263
737.076 599.876 -192.999
-370.485 928.441 494.224
-920.245 -235.734 854.401
276.665 271.949 32.6077
542.805 -14.3339 -950.64
-1168.68 1971.2 -475.484
1199.93 -702.729 361.912
-169.411 -1008.03 -140.384
633.573 1341.02 393.034
-134.262 -1083.02 169.167
-653.455 -483.932 -711.575
1684.43 -931.452 287.953
-863.686 12.1763 160.869
-894.214 633.217 -235.179
1330.88 -893.569 -933.469
-582.602 60.4838 940.19
-459.162 992.8 -120.732
-1572.25 665.22 -1405.19
422.453 -1064.62 433.879
1021.92 89.2489 973.899
1779.91 -67.2018 728.505
-511.628 378.598 -832.978
-1159.33 -226.666 86.8291
-458.829 -1386.47 538.512
828.875 602.722 146.091
-137.121 950.77 -742.35
-718.883 16.5628 1419.42
237.279 -394.176 -1020.36
407.319 256.848 -443.32
-2100.57 280.566 -68.3615
848.93 310.471 -772.74
1039.57 -504.621 609.887
1778.16 897.161 -12.355
-848.233 219.515 373.544
-781.784 -1168.91 -76.3432
653.874 -516.794 203.429
-512.175 234.686 273.334
-84.8579 185.024 -249.283
-752.817 -609.481 804.604
47.6718 85.9002 -658.15
608.525 399.037 -268.172
-102.246 140.611 1143.54
-155.781 -305.933 -778.652
349.885 240.631 -564.03
401.58 -1826.04 1321.62
-330.712 76.345 -973.855
47.1667 1198.78 -96.5582
468.527 1342.04 263.877
-587.968 -459.066 -328.786
251.467 -1045.45 -56.9618
1115.79 847.475 1225.46
-995.915 -442.133 -587.235
-87.1731 -403.52 -735.947
1204.17 1021.8 -1368.3
-1324.55 -397.58 503.415
250.784 -482.24 909.745
-789.214 -678.878 -1831.38
361.414 29.7089 1060.95
126.716 769.845 410.126
-24.2334 -1213.51 -453.714
541 387.174 325.416
-517.95 489.2 20.5505
842.764 967.169 -962.238
-606.655 -911.705 178.424
-320.731 32.1046 829.472
88.7378 -1393.59 37.7472
-39.2068 930.241 -241.402
-263.549 464.858 249.659
611.453 211.222 1393.53
-77.7285 -570.1 -633.433
-460.565 127.501 -778.872
810.588 394.577 960.375
-432.18 -862.509 -346.159
-97.5178 311.106 -584.106
-821.695 -68.1054 -321.715
869.871 -223.127 158.042
158.33 254.371 239.722
578.907 -26.5679 1450.81
-865.24 15.625 -90.3659
259.704 137.592 -1222.05
1208.21 514.338 294.459
-487.41 -521.045 -85.7589
-824.672 176.795 -288.992
1998.84 296.08 162.68
-1125.2 8.40162 631.57
-1018.08 -277.065 -713.85
-963.489 -1718.95 1532.21
329.414 1153.88 173.827
875.059 298.038 -1346.33
-1407.36 -65.5959 -211.228
952.216 -29.9121 517.658
795.183 327.307 -475.801
1303.59 250.558 286.545
-847.611 1.60695 -501.451
-502.006 -284.489 140.06
745.12 -974.8 4.6307
-116.424 300.857 168.487
-732.803 651.983 -288.84
-309.989 1152.55 -1490.2
127.219 -380.102 319.47
55.2125 -652.502 1158.34
-1118.43 -157.19 71.8327
550.244 -238.74 -439.628
446.875 425.04 85.6713
-709.807 -767.989 -809.153
-160.474 483.312 310.651
979.592 239.45 634.289
970.858 -1564.62 -764.378
200.395 530.329 1021.73
-869.151 741.387 -226.945
-1290.89 -553.896 636.226
648.435 99.1749 557.943
303.515 372.712 -921.496
-676.096 -1814.66 75.6501
43.7202 1186.29 101.991
361.99 39.6298 -440.189
-465.724 578.277 958.229
-38.071 171.007 -792.619
493.999 -535.242 -448.77
1143.45 661.479 -155.098
-627.658 -269.111 -449.396
-751.157 -519.692 512.706
760.598 1556.24 -686.174
-512.482 -1012.83 -331.138
-427.31 -404.704 921.899
316.141 1350.1 787.581
-476.629 -1053.43 -584.211
183.422 -368.935 90.967
-1164.76 -309.513 323.724
895.523 278.739 36.9111
378.491 123.293 -290.217
-925.247 19.1236 251.262
439.33 -452.196 -376.726
745.413 689.375 46.8064
-228.357 1068.21 -1302.38
233.463 -211.562 1136.33
-243.554 -808.637 358.673
597.398 -1043.53 -902.731
-911.479 454.114 312.576
190.156 934.851 685.408
-450.594 -556.473 1299.69
-102.486 745.536 -420.006
395.118 -65.1854 -1021.61
-1524.35 717.583 595.918
1062.87 -407.018 -798.109
456.278 -301.984 248.999
-1874.65 325.547 902.881
872.883 472.701 -650.32
768.916 -572.886 -95.2525
-825.93 -73.7796 -803.235
38.5958 244.04 239.251
974.584 -218.691 688.519
-1278.51 -367.837 -414.701
526.356 -389.713 283.993
757.388 586.764 244.324
-1614.84 -1687.24 -33.985
917.095 701.857 -665.768
558.791 766.538 760.873
-321.954 -1720.7 -76.4063
-370.336 590.546 -383.816
431.64 1010.72 332.824
506.512 -2098.23 -330.486
-658.329 898.39 -433.704
250.546 1119.4 604.728
